Australian Bureau of Statistics

"2011 Census - Counting Families, Place of Usual Residence"
"CACF Count of All Children in Family"
"Counting: Families, Place of Usual Residence"

Filters:
"Default Summation","Families, Place of Usual Residence"
"Percentage: Column"

"Counting","CACF Count of All Children in Family","Count",
"Families, Place of Usual Residence","One child in family",16.0922299
"Families, Place of Usual Residence","Two children in family",15.1560423
"Families, Place of Usual Residence","Three children in family",5.8328819
"Families, Place of Usual Residence","Four children in family",1.5950983
"Families, Place of Usual Residence","Five children in family",0.3659169
"Families, Place of Usual Residence","Six or more children in family",0.1763784
"Families, Place of Usual Residence","Not applicable",60.7814864
"Families, Place of Usual Residence","Total",100

"Data Source: Census of Population and Housing, 2011, TableBuilder"

"INFO","Cells in this table have been randomly adjusted to avoid the release of confidential data. No reliance should be placed on small cells."


"Copyright Commonwealth of Australia, 2018, see abs.gov.au/copyright"
"ABS data licensed under Creative Commons, see abs.gov.au/ccby"
